file,avg_accuracy,avg_cer,avg_wer,total_lines,matched_lines,ocr_engine
1_1.png,0.22713240422595188,1.1249163879598663,1.3,20,4,PaddleOCR
1_2.png,0.5258420534187799,0.5070050722224634,0.8888888888888887,21,11,PaddleOCR
1_3.png,0.608142512693105,0.4463576088290047,0.9473684210526315,19,13,PaddleOCR
1_4.png,0.2265523842387196,1.036789297658863,1.349206349206349,21,4,PaddleOCR
1_5.png,0.49605829247784233,0.6089084828215263,1.1166666666666667,20,10,PaddleOCR
1_6.png,0.5530763203974768,0.5207523216676535,0.8947368421052632,19,10,PaddleOCR
1_7.png,0.3205991058363584,0.8697823915215219,1.1904761904761905,21,6,PaddleOCR
1_8.png,0.7282436391080914,0.3274391512377782,0.8421052631578947,19,14,PaddleOCR
1_9.png,0.7237395566646869,0.3175886347241846,0.9215686274509803,17,13,PaddleOCR
1_10.png,0.4216800995253681,0.6344320640995833,0.9607843137254901,17,7,PaddleOCR
2_1.png,0.14727862214275256,1.0548494983277592,1.45,20,2,PaddleOCR
2_2.png,0.465523276876208,0.7025843721495895,1.05,20,7,PaddleOCR
2_3.png,0.40000877604247315,0.7652202869594175,1.4285714285714284,21,8,PaddleOCR
2_4.png,0.44581023817337984,0.9218911523259349,0.9166666666666666,20,8,PaddleOCR
2_5.png,0.6638252758416089,0.4092002581705099,0.9473684210526315,19,12,PaddleOCR
2_6.png,0.006802721088435374,0.9963369963369964,1.0,21,0,PaddleOCR
2_7.png,0.2059636610878847,1.1761426978818281,1.349206349206349,21,2,PaddleOCR
2_8.png,0.0,1.0,1.0,14,0,PaddleOCR
2_9.png,0.49985907365090104,0.5593633419720375,1.222222222222222,21,9,PaddleOCR
2_10.png,0.0,1.0,1.0,1,0,PaddleOCR
3_1.png,0.4264376333999368,0.9280328367284888,1.2,20,6,PaddleOCR
4_1.png,0.010770975056689341,0.9942666029622551,1.0,21,0,PaddleOCR
4_2.png,0.5144387092265201,0.5288624419059202,0.984126984126984,21,10,PaddleOCR
4_3.png,0.006802721088435374,0.9963369963369964,1.0,21,0,PaddleOCR
4_4.png,0.2268306161923183,0.966395922917662,1.2698412698412698,21,3,PaddleOCR
4_5.png,0.41791308530438964,0.9117315856446291,1.2962962962962963,18,7,PaddleOCR
4_6.png,0.034482758620689655,0.9821428571428571,1.0,1,0,PaddleOCR
4_7.png,0.30079739525033733,1.0254721124286341,1.3333333333333333,21,3,PaddleOCR
4_8.png,0.6530015319045556,0.3892240482629498,0.8771929824561402,19,13,PaddleOCR
4_9.png,0.0,1.0,1.0,16,0,PaddleOCR
4_10.png,0.5665153588610705,0.5130907739603392,1.0476190476190477,21,13,PaddleOCR
5_1.png,0.46610920358647967,0.8922623270449357,1.253968253968254,21,6,PaddleOCR
5_2.png,0.001949317738791423,0.9990079365079365,1.0,18,0,PaddleOCR
5_3.png,0.5017750853930979,0.6067989981033458,1.0793650793650793,21,10,PaddleOCR
5_4.png,0.21058000718195954,1.1655062328975372,1.6666666666666665,20,2,PaddleOCR
5_5.png,0.4462700366543537,0.9877849076933745,1.3508771929824561,19,4,PaddleOCR
5_6.png,0.2742591486895616,1.1704961704961705,1.4603174603174602,21,3,PaddleOCR
5_7.png,0.606878293929041,0.4710516536603493,0.9111111111111111,15,8,PaddleOCR
5_8.png,0.5725349840594336,0.46253263644568,1.0634920634920635,21,13,PaddleOCR
5_9.png,0.008771929824561403,0.9955357142857143,1.0,4,0,PaddleOCR
5_10.png,0.0016420361247947454,0.9991496598639455,1.0,21,0,PaddleOCR
6_1.png,0.37943281968324916,0.9474872953133823,1.3015873015873016,21,3,PaddleOCR
6_2.png,0.013605442176870748,0.9926739926739927,1.0,21,0,PaddleOCR
6_3.png,0.0,1.0,1.0,16,0,PaddleOCR
